,分配金,前日比,基準価額,日時,純資産総額
0,---,108円,"11,791.00円",2018年9月21日,204億円
1,---,12円,"11,683.00円",2018年9月20日,202億円
2,---,169円,"11,671.00円",2018年9月19日,203億円
3,---,204円,"11,502.00円",2018年9月18日,200億円
4,---,122円,"11,298.00円",2018年9月14日,197億円
5,---,121円,"11,176.00円",2018年9月13日,195億円
6,---,-48円,"11,055.00円",2018年9月12日,192億円
7,---,73円,"11,103.00円",2018年9月11日,193億円
8,---,20円,"11,030.00円",2018年9月10日,191億円
9,---,-51円,"11,010.00円",2018年9月7日,190億円
10,---,-82円,"11,061.00円",2018年9月6日,190億円
11,---,-88円,"11,143.00円",2018年9月5日,191億円
12,---,-13円,"11,231.00円",2018年9月4日,192億円
13,---,-97円,"11,244.00円",2018年9月3日,192億円
14,---,-26円,"11,341.00円",2018年8月31日,193億円
15,---,-3円,"11,367.00円",2018年8月30日,194億円
16,---,55円,"11,370.00円",2018年8月29日,193億円
17,---,18円,"11,315.00円",2018年8月28日,192億円
18,---,127円,"11,297.00円",2018年8月27日,191億円
19,---,73円,"11,170.00円",2018年8月24日,189億円
