,分配金,前日比,基準価額,日時,純資産総額
0,---,187円,"16,319.00円",2018年9月21日,"1,040億円"
1,---,43円,"16,132.00円",2018年9月20日,"1,027億円"
2,---,142円,"16,089.00円",2018年9月19日,"1,023億円"
3,---,-83円,"15,947.00円",2018年9月18日,"1,013億円"
4,---,173円,"16,030.00円",2018年9月14日,"1,018億円"
5,---,19円,"15,857.00円",2018年9月13日,"1,005億円"
6,---,64円,"15,838.00円",2018年9月12日,"1,003億円"
7,---,117円,"15,774.00円",2018年9月11日,996億円
8,---,14円,"15,657.00円",2018年9月10日,987億円
9,---,-174円,"15,643.00円",2018年9月7日,986億円
10,---,-109円,"15,817.00円",2018年9月6日,995億円
11,---,3円,"15,926.00円",2018年9月5日,998億円
12,---,20円,"15,923.00円",2018年9月4日,998億円
13,---,-81円,"15,903.00円",2018年9月3日,996億円
14,---,-181円,"15,984.00円",2018年8月31日,"1,000億円"
15,---,161円,"16,165.00円",2018年8月30日,"1,012億円"
16,---,3円,"16,004.00円",2018年8月29日,"1,001億円"
17,---,137円,"16,001.00円",2018年8月28日,998億円
18,---,63円,"15,864.00円",2018年8月27日,989億円
19,---,59円,"15,801.00円",2018年8月24日,984億円
