,分配金,前日比,基準価額,日時,純資産総額
0,---,141円,"12,329.00円",2018年9月21日,225億円
1,---,32円,"12,188.00円",2018年9月20日,221億円
2,---,108円,"12,156.00円",2018年9月19日,219億円
3,---,-62円,"12,048.00円",2018年9月18日,217億円
4,---,131円,"12,110.00円",2018年9月14日,216億円
5,---,14円,"11,979.00円",2018年9月13日,213億円
6,---,48円,"11,965.00円",2018年9月12日,211億円
7,---,89円,"11,917.00円",2018年9月11日,209億円
8,---,10円,"11,828.00円",2018年9月10日,206億円
9,---,-131円,"11,818.00円",2018年9月7日,205億円
10,---,-83円,"11,949.00円",2018年9月6日,207億円
11,---,3円,"12,032.00円",2018年9月5日,205億円
12,---,14円,"12,029.00円",2018年9月4日,205億円
13,---,-61円,"12,015.00円",2018年9月3日,204億円
14,---,-138円,"12,076.00円",2018年8月31日,204億円
15,---,121円,"12,214.00円",2018年8月30日,206億円
16,---,3円,"12,093.00円",2018年8月29日,203億円
17,---,104円,"12,090.00円",2018年8月28日,203億円
18,---,48円,"11,986.00円",2018年8月27日,200億円
19,---,45円,"11,938.00円",2018年8月24日,198億円
