,分配金,前日比,基準価額,日時,純資産総額
0,---,473円,"9,895.00円",2018年3月30日,312億円
1,---,333円,"9,422.00円",2018年3月29日,300億円
2,---,-151円,"9,089.00円",2018年3月28日,285億円
3,---,1091円,"9,240.00円",2018年3月27日,291億円
4,---,217円,"8,149.00円",2018年3月26日,253億円
5,---,-2078円,"7,932.00円",2018年3月23日,237億円
6,---,410円,"10,010.00円",2018年3月22日,294億円
7,---,-199円,"9,600.00円",2018年3月20日,283億円
8,---,-350円,"9,799.00円",2018年3月19日,289億円
9,---,-419円,"10,149.00円",2018年3月16日,301億円
10,---,62円,"10,568.00円",2018年3月15日,313億円
11,---,-408円,"10,506.00円",2018年3月14日,306億円
12,---,168円,"10,914.00円",2018年3月13日,317億円
13,---,737円,"10,746.00円",2018年3月12日,313億円
14,---,295円,"10,009.00円",2018年3月9日,291億円
15,---,366円,"9,714.00円",2018年3月8日,281億円
16,---,-537円,"9,348.00円",2018年3月7日,269億円
17,---,849円,"9,885.00円",2018年3月6日,282億円
18,---,-254円,"9,036.00円",2018年3月5日,258億円
19,---,-1059円,"9,290.00円",2018年3月2日,251億円
20,---,-1015円,"10,349.00円",2018年3月1日,275億円
21,---,-647円,"11,364.00円",2018年2月28日,297億円
22,---,357円,"12,011.00円",2018年2月27日,318億円
23,---,664円,"11,654.00円",2018年2月26日,312億円
24,---,523円,"10,990.00円",2018年2月23日,295億円
25,---,-676円,"10,467.00円",2018年2月22日,280億円
26,---,86円,"11,143.00円",2018年2月21日,298億円
27,---,-380円,"11,057.00円",2018年2月20日,292億円
28,---,755円,"11,437.00円",2018年2月19日,303億円
29,---,587円,"10,682.00円",2018年2月16日,276億円
30,---,519円,"10,095.00円",2018年2月15日,254億円
31,---,19円,"9,576.00円",2018年2月14日,239億円
32,---,-377円,"9,557.00円",2018年2月13日,236億円
33,---,-1260円,"9,934.00円",2018年2月9日,228億円
34,---,691円,"11,194.00円",2018年2月8日,249億円
35,---,197円,"10,503.00円",2018年2月7日,217億円
36,---,-2777円,"10,306.00円",2018年2月6日,198億円
37,---,-1820円,"13,083.00円",2018年2月5日,234億円
38,---,-338円,"14,903.00円",2018年2月2日,257億円
39,---,930円,"15,241.00円",2018年2月1日,257億円
