,分配金,前日比,基準価額,日時,純資産総額
0,---,468円,"42,102.00円",2018年9月21日,"6,529億円"
1,---,104円,"41,634.00円",2018年9月20日,"6,462億円"
2,---,643円,"41,530.00円",2018年9月19日,"6,440億円"
3,---,353円,"40,887.00円",2018年9月18日,"6,336億円"
4,---,478円,"40,534.00円",2018年9月14日,"6,276億円"
5,---,283円,"40,056.00円",2018年9月13日,"6,195億円"
6,---,-185円,"39,773.00円",2018年9月12日,"6,145億円"
7,---,109円,"39,958.00円",2018年9月11日,"6,161億円"
8,---,-10円,"39,849.00円",2018年9月10日,"6,137億円"
9,---,-421円,"39,859.00円",2018年9月7日,"6,135億円"
10,---,-546円,"40,280.00円",2018年9月6日,"6,197億円"
11,---,-266円,"40,826.00円",2018年9月5日,"6,278億円"
12,---,-92円,"41,092.00円",2018年9月4日,"6,310億円"
13,---,-536円,"41,184.00円",2018年9月3日,"6,319億円"
14,---,-39円,"41,720.00円",2018年8月31日,"6,401億円"
15,---,402円,"41,759.00円",2018年8月30日,"6,403億円"
16,---,213円,"41,357.00円",2018年8月29日,"6,337億円"
17,---,3円,"41,144.00円",2018年8月28日,"6,288億円"
18,---,621円,"41,141.00円",2018年8月27日,"6,278億円"
19,---,554円,"40,520.00円",2018年8月24日,"6,171億円"
