,分配金,前日比,基準価額,日時,純資産総額
0,---,218円,"15,763.00円",2018年9月21日,358億円
1,---,-34円,"15,545.00円",2018年9月20日,354億円
2,---,245円,"15,579.00円",2018年9月19日,354億円
3,---,220円,"15,334.00円",2018年9月18日,348億円
4,---,181円,"15,114.00円",2018年9月14日,344億円
5,---,162円,"14,933.00円",2018年9月13日,340億円
6,---,-89円,"14,771.00円",2018年9月12日,336億円
7,---,10円,"14,860.00円",2018年9月11日,338億円
8,---,64円,"14,850.00円",2018年9月10日,338億円
9,---,-146円,"14,786.00円",2018年9月7日,336億円
10,---,-118円,"14,932.00円",2018年9月6日,339億円
11,---,49円,"15,050.00円",2018年9月5日,342億円
12,---,-23円,"15,001.00円",2018年9月4日,340億円
13,---,-248円,"15,024.00円",2018年9月3日,340億円
14,---,-51円,"15,272.00円",2018年8月31日,346億円
15,---,98円,"15,323.00円",2018年8月30日,347億円
16,---,99円,"15,225.00円",2018年8月29日,344億円
17,---,55円,"15,126.00円",2018年8月28日,341億円
18,---,229円,"15,071.00円",2018年8月27日,340億円
19,---,84円,"14,842.00円",2018年8月24日,334億円
