,分配金,前日比,基準価額,日時,純資産総額
0,---,220円,"26,600.00円",2018年9月21日,"1,458億円"
1,---,2円,"26,380.00円",2018年9月20日,"1,455億円"
2,---,283円,"26,378.00円",2018年9月19日,"1,466億円"
3,---,362円,"26,095.00円",2018年9月18日,"1,463億円"
4,---,308円,"25,733.00円",2018年9月14日,"1,448億円"
5,---,239円,"25,425.00円",2018年9月13日,"1,435億円"
6,---,-66円,"25,186.00円",2018年9月12日,"1,419億円"
7,---,324円,"25,252.00円",2018年9月11日,"1,426億円"
8,---,70円,"24,928.00円",2018年9月10日,"1,405億円"
9,---,-199円,"24,858.00円",2018年9月7日,"1,395億円"
10,---,-103円,"25,057.00円",2018年9月6日,"1,404億円"
11,---,-131円,"25,160.00円",2018年9月5日,"1,408億円"
12,---,-11円,"25,291.00円",2018年9月4日,"1,414億円"
13,---,-176円,"25,302.00円",2018年9月3日,"1,414億円"
14,---,-5円,"25,478.00円",2018年8月31日,"1,425億円"
15,---,23円,"25,483.00円",2018年8月30日,"1,428億円"
16,---,55円,"25,460.00円",2018年8月29日,"1,429億円"
17,---,15円,"25,405.00円",2018年8月28日,"1,430億円"
18,---,220円,"25,390.00円",2018年8月27日,"1,434億円"
19,---,212円,"25,170.00円",2018年8月24日,"1,424億円"
