,分配金,前日比,基準価額,日時,純資産総額
0,---,249円,"27,248.00円",2018年9月21日,183億円
1,---,29円,"26,999.00円",2018年9月20日,181億円
2,---,389円,"26,970.00円",2018年9月19日,181億円
3,---,473円,"26,581.00円",2018年9月18日,178億円
4,---,282円,"26,108.00円",2018年9月14日,175億円
5,---,281円,"25,826.00円",2018年9月13日,170億円
6,---,-113円,"25,545.00円",2018年9月12日,168億円
7,---,170円,"25,658.00円",2018年9月11日,168億円
8,---,47円,"25,488.00円",2018年9月10日,166億円
9,---,-120円,"25,441.00円",2018年9月7日,165億円
10,---,-189円,"25,561.00円",2018年9月6日,166億円
11,---,-202円,"25,750.00円",2018年9月5日,167億円
12,---,-4円,"25,952.00円",2018年9月4日,168億円
13,---,-226円,"25,956.00円",2018年9月3日,167億円
14,---,-58円,"26,182.00円",2018年8月31日,169億円
15,---,-7円,"26,240.00円",2018年8月30日,169億円
16,---,126円,"26,247.00円",2018年8月29日,168億円
17,---,41円,"26,121.00円",2018年8月28日,166億円
18,---,296円,"26,080.00円",2018年8月27日,165億円
19,---,167円,"25,784.00円",2018年8月24日,163億円
