,分配金,前日比,基準価額,日時,純資産総額
0,---,195円,"22,600.00円",2018年9月21日,597億円
1,---,85円,"22,405.00円",2018年9月20日,592億円
2,---,144円,"22,320.00円",2018年9月19日,590億円
3,---,-75円,"22,176.00円",2018年9月18日,586億円
4,---,243円,"22,251.00円",2018年9月14日,588億円
5,---,40円,"22,008.00円",2018年9月13日,581億円
6,---,9円,"21,968.00円",2018年9月12日,580億円
7,---,90円,"21,959.00円",2018年9月11日,580億円
8,---,35円,"21,869.00円",2018年9月10日,577億円
9,---,-157円,"21,834.00円",2018年9月7日,576億円
10,---,-124円,"21,991.00円",2018年9月6日,580億円
11,---,-18円,"22,115.00円",2018年9月5日,581億円
12,---,-25円,"22,133.00円",2018年9月4日,582億円
13,---,-78円,"22,158.00円",2018年9月3日,581億円
14,---,-249円,"22,236.00円",2018年8月31日,583億円
15,---,141円,"22,485.00円",2018年8月30日,590億円
16,---,-23円,"22,344.00円",2018年8月29日,584億円
17,---,136円,"22,367.00円",2018年8月28日,585億円
18,---,65円,"22,231.00円",2018年8月27日,581億円
19,---,68円,"22,166.00円",2018年8月24日,579億円
