,分配金,前日比,基準価額,日時,純資産総額
0,---,16円,"2,263.00円",2018年9月21日,393億円
1,---,-2円,"2,247.00円",2018年9月20日,391億円
2,---,10円,"2,249.00円",2018年9月19日,392億円
3,30円,-39円,"2,239.00円",2018年9月18日,389億円
4,---,28円,"2,278.00円",2018年9月14日,397億円
5,---,26円,"2,250.00円",2018年9月13日,392億円
6,---,5円,"2,224.00円",2018年9月12日,388億円
7,---,-9円,"2,219.00円",2018年9月11日,387億円
8,---,10円,"2,228.00円",2018年9月10日,389億円
9,---,-13円,"2,218.00円",2018年9月7日,388億円
10,---,7円,"2,231.00円",2018年9月6日,391億円
11,---,-25円,"2,224.00円",2018年9月5日,390億円
12,---,0円,"2,249.00円",2018年9月4日,394億円
13,---,7円,"2,249.00円",2018年9月3日,395億円
14,---,-38円,"2,242.00円",2018年8月31日,394億円
15,---,-11円,"2,280.00円",2018年8月30日,401億円
16,---,-1円,"2,291.00円",2018年8月29日,404億円
17,---,0円,"2,292.00円",2018年8月28日,404億円
18,---,19円,"2,292.00円",2018年8月27日,404億円
19,---,2円,"2,273.00円",2018年8月24日,402億円
