,分配金,前日比,基準価額,日時,純資産総額
0,0.0,48.0,2347.0,2018-09-21,30200000000.0
1,0.0,-27.0,2299.0,2018-09-20,29700000000.0
2,0.0,39.0,2326.0,2018-09-19,30000000000.0
3,30.0,-48.0,2287.0,2018-09-18,29400000000.0
4,0.0,15.0,2335.0,2018-09-14,30100000000.0
5,0.0,16.0,2320.0,2018-09-13,29900000000.0
6,0.0,-23.0,2304.0,2018-09-12,29700000000.0
7,0.0,26.0,2327.0,2018-09-11,30000000000.0
8,0.0,-1.0,2301.0,2018-09-10,29700000000.0
9,0.0,-12.0,2302.0,2018-09-07,29700000000.0
10,0.0,21.0,2314.0,2018-09-06,29900000000.0
11,0.0,-9.0,2293.0,2018-09-05,29700000000.0
12,0.0,0.0,2302.0,2018-09-04,29800000000.0
13,0.0,10.0,2302.0,2018-09-03,29900000000.0
14,0.0,-41.0,2292.0,2018-08-31,29800000000.0
15,0.0,14.0,2333.0,2018-08-30,30400000000.0
16,0.0,-8.0,2319.0,2018-08-29,30300000000.0
17,0.0,-1.0,2327.0,2018-08-28,30400000000.0
18,0.0,4.0,2328.0,2018-08-27,30500000000.0
19,0.0,30.0,2324.0,2018-08-24,30500000000.0
