,分配金,前日比,基準価額,日時,純資産総額
0,---,123円,"10,887.00円",2018年9月21日,136億円
1,---,34円,"10,764.00円",2018年9月20日,135億円
2,---,120円,"10,730.00円",2018年9月19日,133億円
3,---,-58円,"10,610.00円",2018年9月18日,131億円
4,---,130円,"10,668.00円",2018年9月14日,131億円
5,---,5円,"10,538.00円",2018年9月13日,129億円
6,---,33円,"10,533.00円",2018年9月12日,128億円
7,---,74円,"10,500.00円",2018年9月11日,126億円
8,---,-8円,"10,426.00円",2018年9月10日,125億円
9,---,-93円,"10,434.00円",2018年9月7日,125億円
10,---,-94円,"10,527.00円",2018年9月6日,125億円
11,---,-26円,"10,621.00円",2018年9月5日,125億円
12,---,9円,"10,647.00円",2018年9月4日,125億円
13,---,-9円,"10,638.00円",2018年9月3日,125億円
14,---,-158円,"10,647.00円",2018年8月31日,125億円
15,---,102円,"10,805.00円",2018年8月30日,127億円
16,---,-8円,"10,703.00円",2018年8月29日,125億円
17,---,114円,"10,711.00円",2018年8月28日,124億円
18,---,47円,"10,597.00円",2018年8月27日,122億円
19,---,19円,"10,550.00円",2018年8月24日,121億円
