,分配金,前日比,基準価額,日時,純資産総額
0,0,112.0,11699.0,2018-09-21,22300000000.0
1,0,10.0,11587.0,2018-09-20,21900000000.0
2,0,109.0,11577.0,2018-09-19,21700000000.0
3,0,-92.0,11468.0,2018-09-18,21400000000.0
4,0,127.0,11560.0,2018-09-14,21300000000.0
5,0,-14.0,11433.0,2018-09-13,20900000000.0
6,0,51.0,11447.0,2018-09-12,20800000000.0
7,0,77.0,11396.0,2018-09-11,20500000000.0
8,0,16.0,11319.0,2018-09-10,20100000000.0
9,0,-110.0,11303.0,2018-09-07,20000000000.0
10,0,-64.0,11413.0,2018-09-06,20000000000.0
11,0,29.0,11477.0,2018-09-05,19600000000.0
12,0,9.0,11448.0,2018-09-04,19500000000.0
13,0,-3.0,11439.0,2018-09-03,19400000000.0
14,0,-119.0,11442.0,2018-08-31,19400000000.0
15,0,115.0,11561.0,2018-08-30,19400000000.0
16,0,6.0,11446.0,2018-08-29,19100000000.0
17,0,85.0,11440.0,2018-08-28,18900000000.0
18,0,39.0,11355.0,2018-08-27,18700000000.0
19,0,52.0,11316.0,2018-08-24,18700000000.0
20,0,63.0,11264.0,2018-08-23,18500000000.0
21,0,71.0,11201.0,2018-08-22,18300000000.0
22,0,-46.0,11130.0,2018-08-21,18000000000.0
23,0,8.0,11176.0,2018-08-20,18000000000.0
24,0,114.0,11168.0,2018-08-17,18000000000.0
25,0,-167.0,11054.0,2018-08-16,17600000000.0
26,0,135.0,11221.0,2018-08-15,17700000000.0
27,0,-21.0,11086.0,2018-08-14,17400000000.0
28,0,-106.0,11107.0,2018-08-13,17400000000.0
29,0,-6.0,11213.0,2018-08-10,17400000000.0
30,0,-66.0,11219.0,2018-08-09,17300000000.0
31,0,50.0,11285.0,2018-08-08,17300000000.0
32,0,58.0,11235.0,2018-08-07,17100000000.0
33,0,-19.0,11177.0,2018-08-06,16900000000.0
34,0,74.0,11196.0,2018-08-03,16800000000.0
35,0,-25.0,11122.0,2018-08-02,16600000000.0
36,0,145.0,11147.0,2018-08-01,16600000000.0
37,0,-83.0,11002.0,2018-07-31,16200000000.0
