,分配金,前日比,基準価額,日時,純資産総額
0,0,764.0,15030.0,2018-09-21,30900000000.0
1,0,-159.0,14266.0,2018-09-20,30900000000.0
2,0,612.0,14425.0,2018-09-19,32800000000.0
3,0,752.0,13813.0,2018-09-18,33300000000.0
4,0,795.0,13061.0,2018-09-14,32700000000.0
5,0,429.0,12266.0,2018-09-13,31700000000.0
6,0,-110.0,11837.0,2018-09-12,30400000000.0
7,0,638.0,11947.0,2018-09-11,30800000000.0
8,0,-31.0,11309.0,2018-09-10,28900000000.0
9,0,-222.0,11340.0,2018-09-07,27800000000.0
10,0,-181.0,11562.0,2018-09-06,28000000000.0
11,0,-479.0,11743.0,2018-09-05,27900000000.0
12,0,137.0,12222.0,2018-09-04,28900000000.0
13,0,-352.0,12085.0,2018-09-03,28700000000.0
14,0,-24.0,12437.0,2018-08-31,29500000000.0
15,0,46.0,12461.0,2018-08-30,30700000000.0
16,0,116.0,12415.0,2018-08-29,30800000000.0
17,0,69.0,12299.0,2018-08-28,32000000000.0
18,0,403.0,12230.0,2018-08-27,33000000000.0
19,0,393.0,11827.0,2018-08-24,32300000000.0
20,0,195.0,11434.0,2018-08-23,31300000000.0
21,0,213.0,11239.0,2018-08-22,31200000000.0
22,0,127.0,11026.0,2018-08-21,30500000000.0
23,0,-216.0,10899.0,2018-08-20,30200000000.0
24,0,212.0,11115.0,2018-08-17,31100000000.0
25,0,-43.0,10903.0,2018-08-16,30200000000.0
26,0,-304.0,10946.0,2018-08-15,30200000000.0
27,0,867.0,11250.0,2018-08-14,30300000000.0
28,0,-890.0,10383.0,2018-08-13,26900000000.0
29,0,-682.0,11273.0,2018-08-10,28700000000.0
30,0,-69.0,11955.0,2018-08-09,30300000000.0
31,0,-1.0,12024.0,2018-08-08,30800000000.0
32,0,313.0,12025.0,2018-08-07,31000000000.0
33,0,-46.0,11712.0,2018-08-06,30300000000.0
34,0,0.0,11758.0,2018-08-03,30300000000.0
35,0,-629.0,11758.0,2018-08-02,30200000000.0
36,0,632.0,12387.0,2018-08-01,32100000000.0
37,0,-46.0,11755.0,2018-07-31,30400000000.0
38,0,-370.0,11801.0,2018-07-30,30400000000.0
39,0,272.0,12171.0,2018-07-27,31400000000.0
40,0,-91.0,11899.0,2018-07-26,31100000000.0
41,0,201.0,11990.0,2018-07-25,31400000000.0
42,0,286.0,11789.0,2018-07-24,30300000000.0
43,0,-787.0,11503.0,2018-07-23,29200000000.0
44,0,-164.0,12290.0,2018-07-20,31500000000.0
45,0,-24.0,12454.0,2018-07-19,32500000000.0
46,0,185.0,12478.0,2018-07-18,33700000000.0
47,0,272.0,12293.0,2018-07-17,34200000000.0
48,0,838.0,12021.0,2018-07-13,34500000000.0
49,0,620.0,11183.0,2018-07-12,32300000000.0
50,0,-607.0,10563.0,2018-07-11,30300000000.0
51,0,254.0,11170.0,2018-07-10,32400000000.0
52,0,549.0,10916.0,2018-07-09,31500000000.0
53,0,609.0,10367.0,2018-07-06,29500000000.0
54,0,-424.0,9758.0,2018-07-05,27600000000.0
55,0,-20.0,10182.0,2018-07-04,28700000000.0
56,0,-62.0,10202.0,2018-07-03,28400000000.0
57,0,-1219.0,10264.0,2018-07-02,28000000000.0
58,0,134.0,11483.0,2018-06-29,31100000000.0
