,分配金,前日比,基準価額,日時,純資産総額
0,0,-65.0,1714.0,2018-09-21,4350000000.0
1,0,13.0,1779.0,2018-09-20,4390000000.0
2,0,-56.0,1766.0,2018-09-19,4090000000.0
3,0,-77.0,1822.0,2018-09-18,4010000000.0
4,0,-89.0,1899.0,2018-09-14,3950000000.0
5,0,-52.0,1988.0,2018-09-13,3810000000.0
6,0,10.0,2040.0,2018-09-12,3940000000.0
7,0,-82.0,2030.0,2018-09-11,3910000000.0
8,0,6.0,2112.0,2018-09-10,4079999999.9999995
9,0,27.0,2106.0,2018-09-07,4350000000.0
10,0,22.0,2079.0,2018-09-06,4530000000.0
11,0,56.0,2057.0,2018-09-05,4570000000.0
12,0,-16.0,2001.0,2018-09-04,4480000000.0
13,0,39.0,2017.0,2018-09-03,4620000000.0
14,0,2.0,1978.0,2018-08-31,4550000000.0
15,0,-5.0,1976.0,2018-08-30,4440000000.0
16,0,-13.0,1981.0,2018-08-29,4410000000.0
17,0,-8.0,1994.0,2018-08-28,4140000000.0
18,0,-49.0,2002.0,2018-08-27,3890000000.0
19,0,-51.0,2051.0,2018-08-24,3950000000.0
20,0,-26.0,2102.0,2018-08-23,4029999999.9999995
21,0,-29.0,2128.0,2018-08-22,4029999999.9999995
22,0,-18.0,2157.0,2018-08-21,4090000000.0
23,0,29.0,2175.0,2018-08-20,4170000000.0000005
24,0,-29.0,2146.0,2018-08-17,4170000000.0000005
25,0,5.0,2175.0,2018-08-16,4260000000.0
26,0,40.0,2170.0,2018-08-15,4120000000.0000005
27,0,-135.0,2130.0,2018-08-14,4040000000.0
28,0,119.0,2265.0,2018-08-13,4580000000.0
29,0,82.0,2146.0,2018-08-10,4470000000.0
30,0,8.0,2064.0,2018-08-09,4320000000.0
31,0,0.0,2056.0,2018-08-08,4100000000.0
32,0,-39.0,2056.0,2018-08-07,4140000000.0
33,0,5.0,2095.0,2018-08-06,4220000000.0000005
34,0,0.0,2090.0,2018-08-03,4210000000.0
35,0,72.0,2090.0,2018-08-02,4320000000.0
36,0,-77.0,2018.0,2018-08-01,4140000000.0
37,0,5.0,2095.0,2018-07-31,4250000000.0
38,0,43.0,2090.0,2018-07-30,4240000000.0
39,0,-33.0,2047.0,2018-07-27,4200000000.0
40,0,11.0,2080.0,2018-07-26,4120000000.0000005
41,0,-25.0,2069.0,2018-07-25,4010000000.0
42,0,-38.0,2094.0,2018-07-24,4150000000.0
43,0,92.0,2132.0,2018-07-23,4440000000.0
44,0,19.0,2040.0,2018-07-20,4360000000.0
45,0,3.0,2021.0,2018-07-19,4020000000.0000005
46,0,-22.0,2018.0,2018-07-18,3810000000.0
47,0,-33.0,2040.0,2018-07-17,3700000000.0
48,0,-117.0,2073.0,2018-07-13,3279999999.9999995
49,0,-94.0,2190.0,2018-07-12,3540000000.0
50,0,83.0,2284.0,2018-07-11,3670000000.0000005
51,0,-37.0,2201.0,2018-07-10,3440000000.0
52,0,-87.0,2238.0,2018-07-09,3520000000.0000005
53,0,-104.0,2325.0,2018-07-06,3710000000.0
