,分配金,前日比,基準価額,日時,純資産総額
0,0,50.0,10066.0,2018-09-21,140000000.0
1,0,-31.0,10016.0,2018-09-20,139000000.0
2,0,-24.0,10047.0,2018-09-19,60000000.0
3,0,-31.0,10071.0,2018-09-18,55000000.00000001
4,0,63.0,10102.0,2018-09-14,55000000.00000001
5,0,19.0,10039.0,2018-09-13,51000000.0
6,0,-2.0,10020.0,2018-09-12,51000000.0
7,0,58.0,10022.0,2018-09-11,51000000.0
8,0,-14.0,9964.0,2018-09-10,51000000.0
9,0,-28.0,9978.0,2018-09-07,51000000.0
10,0,-4.0,10006.0,2018-09-06,51000000.0
11,0,-13.0,10010.0,2018-09-05,51000000.0
12,0,4.0,10023.0,2018-09-04,51000000.0
13,0,-9.0,10019.0,2018-09-03,51000000.0
14,0,-56.0,10028.0,2018-08-31,51000000.0
15,0,34.0,10084.0,2018-08-30,51000000.0
16,0,-22.0,10050.0,2018-08-29,26000000.0
17,0,-11.0,10072.0,2018-08-28,26000000.0
18,0,7.0,10083.0,2018-08-27,24000000.0
19,0,34.0,10076.0,2018-08-24,24000000.0
