,分配金,前日比,基準価額,日時,純資産総額
0,---,50円,"15,341.00円",2018年9月21日,122億円
1,---,20円,"15,291.00円",2018年9月20日,122億円
2,---,80円,"15,271.00円",2018年9月19日,121億円
3,---,3円,"15,191.00円",2018年9月18日,120億円
4,---,24円,"15,188.00円",2018年9月14日,120億円
5,---,-44円,"15,164.00円",2018年9月13日,120億円
6,---,-63円,"15,208.00円",2018年9月12日,120億円
7,---,-64円,"15,271.00円",2018年9月11日,121億円
8,---,7円,"15,335.00円",2018年9月10日,122億円
9,---,-55円,"15,328.00円",2018年9月7日,121億円
10,---,15円,"15,383.00円",2018年9月6日,122億円
11,---,80円,"15,368.00円",2018年9月5日,122億円
12,---,-46円,"15,288.00円",2018年9月4日,121億円
13,---,-99円,"15,334.00円",2018年9月3日,120億円
14,---,4円,"15,433.00円",2018年8月31日,121億円
15,---,80円,"15,429.00円",2018年8月30日,121億円
16,---,57円,"15,349.00円",2018年8月29日,121億円
17,---,-39円,"15,292.00円",2018年8月28日,120億円
18,---,53円,"15,331.00円",2018年8月27日,120億円
19,---,53円,"15,278.00円",2018年8月24日,119億円
