,分配金,前日比,基準価額,日時,純資産総額
0,0,115.0,23180.0,2018-09-21,78600000000.0
1,0,30.0,23065.0,2018-09-20,78700000000.0
2,0,262.0,23035.0,2018-09-19,78900000000.0
3,0,132.0,22773.0,2018-09-18,78200000000.0
4,0,430.0,22641.0,2018-09-14,77600000000.0
5,0,80.0,22211.0,2018-09-13,75800000000.0
6,0,-332.0,22131.0,2018-09-12,75200000000.0
7,0,203.0,22463.0,2018-09-11,76100000000.0
8,0,167.0,22260.0,2018-09-10,75100000000.0
9,0,-206.0,22093.0,2018-09-07,74100000000.0
10,0,-301.0,22299.0,2018-09-06,74400000000.0
11,0,-106.0,22600.0,2018-09-05,75400000000.0
12,0,191.0,22706.0,2018-09-04,75700000000.0
13,0,-333.0,22515.0,2018-09-03,75100000000.0
14,0,-26.0,22848.0,2018-08-31,76100000000.0
15,0,398.0,22874.0,2018-08-30,76200000000.0
16,0,146.0,22476.0,2018-08-29,74700000000.0
17,0,-52.0,22330.0,2018-08-28,74100000000.0
18,0,422.0,22382.0,2018-08-27,74000000000.0
19,0,363.0,21960.0,2018-08-24,72200000000.0
