,分配金,前日比,基準価額,日時,純資産総額
0,0,-31.0,642.0,2018-09-21,6010000000.0
1,0,7.0,673.0,2018-09-20,6080000000.0
2,0,-27.0,666.0,2018-09-19,5850000000.0
3,0,-37.0,693.0,2018-09-18,5770000000.0
4,0,-42.0,730.0,2018-09-14,5770000000.0
5,0,-25.0,772.0,2018-09-13,5920000000.0
6,0,6.0,797.0,2018-09-12,6110000000.0
7,0,-41.0,791.0,2018-09-11,6080000000.0
8,0,3.0,832.0,2018-09-10,6509999999.999999
9,0,13.0,829.0,2018-09-07,6840000000.000001
10,0,10.0,816.0,2018-09-06,6720000000.0
11,0,27.0,806.0,2018-09-05,6559999999.999999
12,0,-8.0,779.0,2018-09-04,6360000000.0
13,0,19.0,787.0,2018-09-03,6550000000.0
14,0,1.0,768.0,2018-08-31,6380000000.0
15,0,-2.0,767.0,2018-08-30,6270000000.0
16,0,-7.0,769.0,2018-08-29,6120000000.0
17,0,-3.0,776.0,2018-08-28,5870000000.0
18,0,-24.0,779.0,2018-08-27,5760000000.0
19,0,-25.0,803.0,2018-08-24,5840000000.0
