,分配金,前日比,基準価額,日時,純資産総額
0,0,-351.0,7332.0,2018-09-21,993000000.0
1,0,72.0,7683.0,2018-09-20,950000000.0
2,0,-298.0,7611.0,2018-09-19,811999999.9999999
3,0,-419.0,7909.0,2018-09-18,650000000.0
4,0,-490.0,8328.0,2018-09-14,533000000.0
5,0,-284.0,8818.0,2018-09-13,513999999.99999994
6,0,75.0,9102.0,2018-09-12,513000000.0
7,0,-463.0,9027.0,2018-09-11,468000000.0
8,0,30.0,9490.0,2018-09-10,505000000.0
9,0,152.0,9460.0,2018-09-07,640000000.0
10,0,120.0,9308.0,2018-09-06,758000000.0
11,0,304.0,9188.0,2018-09-05,760000000.0
12,0,-88.0,8884.0,2018-09-04,719000000.0
13,0,211.0,8972.0,2018-09-03,717000000.0
14,0,14.0,8761.0,2018-08-31,680000000.0
15,0,-28.0,8747.0,2018-08-30,638000000.0
16,0,-72.0,8775.0,2018-08-29,592000000.0
17,0,-47.0,8847.0,2018-08-28,399000000.0
18,0,-269.0,8894.0,2018-08-27,356000000.0
19,0,-282.0,9163.0,2018-08-24,341000000.0
20,0,-143.0,9445.0,2018-08-23,346000000.0
21,0,-163.0,9588.0,2018-08-22,345000000.0
