,分配金,前日比,基準価額,日時,純資産総額
0,---,543円,"10,786.00円",2018年9月21日,46.3億円
1,---,-113円,"10,243.00円",2018年9月20日,45.6億円
2,---,437円,"10,356.00円",2018年9月19日,48.8億円
3,---,540円,"9,919.00円",2018年9月18日,53.8億円
4,---,568円,"9,379.00円",2018年9月14日,54.7億円
5,---,309円,"8,811.00円",2018年9月13日,53.1億円
6,---,-82円,"8,502.00円",2018年9月12日,51.0億円
7,---,467円,"8,584.00円",2018年9月11日,51.0億円
8,---,-31円,"8,117.00円",2018年9月10日,47.5億円
9,---,-159円,"8,148.00円",2018年9月7日,45.0億円
10,---,-129円,"8,307.00円",2018年9月6日,44.9億円
11,---,-347円,"8,436.00円",2018年9月5日,45.0億円
12,---,98円,"8,783.00円",2018年9月4日,46.5億円
13,---,-252円,"8,685.00円",2018年9月3日,45.6億円
14,---,-18円,"8,937.00円",2018年8月31日,46.7億円
15,---,34円,"8,955.00円",2018年8月30日,47.7億円
16,---,83円,"8,921.00円",2018年8月29日,47.7億円
17,---,49円,"8,838.00円",2018年8月28日,50.5億円
18,---,290円,"8,789.00円",2018年8月27日,52.4億円
19,---,282円,"8,499.00円",2018年8月24日,51.7億円
