,分配金,前日比,基準価額,日時,純資産総額
0,---,114円,"11,240.00円",2018年9月21日,"2,413億円"
1,---,6円,"11,126.00円",2018年9月20日,"2,371億円"
2,---,115円,"11,120.00円",2018年9月19日,"2,356億円"
3,200円,-331円,"11,005.00円",2018年9月18日,"2,313億円"
4,---,117円,"11,336.00円",2018年9月14日,"2,363億円"
5,---,-29円,"11,219.00円",2018年9月13日,"2,325億円"
6,---,72円,"11,248.00円",2018年9月12日,"2,320億円"
7,---,80円,"11,176.00円",2018年9月11日,"2,290億円"
8,---,32円,"11,096.00円",2018年9月10日,"2,259億円"
9,---,-83円,"11,064.00円",2018年9月7日,"2,240億円"
10,---,-124円,"11,147.00円",2018年9月6日,"2,250億円"
11,---,23円,"11,271.00円",2018年9月5日,"2,256億円"
12,---,8円,"11,248.00円",2018年9月4日,"2,251億円"
13,---,12円,"11,240.00円",2018年9月3日,"2,242億円"
14,---,-135円,"11,228.00円",2018年8月31日,"2,217億円"
15,---,143円,"11,363.00円",2018年8月30日,"2,229億円"
16,---,6円,"11,220.00円",2018年8月29日,"2,188億円"
17,---,71円,"11,214.00円",2018年8月28日,"2,173億円"
18,---,53円,"11,143.00円",2018年8月27日,"2,140億円"
19,---,77円,"11,090.00円",2018年8月24日,"2,115億円"
