,分配金,前日比,基準価額,日時,純資産総額
0,---,13円,"1,777.00円",2018年9月21日,273億円
1,---,-25円,"1,764.00円",2018年9月20日,271億円
2,---,-2円,"1,789.00円",2018年9月19日,275億円
3,40円,-24円,"1,791.00円",2018年9月18日,274億円
4,---,14円,"1,815.00円",2018年9月14日,278億円
5,---,-7円,"1,801.00円",2018年9月13日,276億円
6,---,10円,"1,808.00円",2018年9月12日,277億円
7,---,-7円,"1,798.00円",2018年9月11日,276億円
8,---,-6円,"1,805.00円",2018年9月10日,277億円
9,---,-13円,"1,811.00円",2018年9月7日,278億円
10,---,-7円,"1,824.00円",2018年9月6日,280億円
11,---,-7円,"1,831.00円",2018年9月5日,282億円
12,---,-1円,"1,838.00円",2018年9月4日,283億円
13,---,-8円,"1,839.00円",2018年9月3日,283億円
14,---,-10円,"1,847.00円",2018年8月31日,285億円
15,---,0円,"1,857.00円",2018年8月30日,287億円
16,---,4円,"1,857.00円",2018年8月29日,287億円
17,---,3円,"1,853.00円",2018年8月28日,287億円
18,---,5円,"1,850.00円",2018年8月27日,287億円
19,---,0円,"1,845.00円",2018年8月24日,287億円
