,分配金,前日比,基準価額,日時,純資産総額
0,---,128円,"13,812.00円",2018年9月21日,342億円
1,---,-157円,"13,684.00円",2018年9月20日,327億円
2,---,73円,"13,841.00円",2018年9月19日,321億円
3,---,-406円,"13,768.00円",2018年9月18日,310億円
4,---,86円,"14,174.00円",2018年9月14日,308億円
5,---,-23円,"14,088.00円",2018年9月13日,299億円
6,---,8円,"14,111.00円",2018年9月12日,292億円
7,---,156円,"14,103.00円",2018年9月11日,285億円
8,---,377円,"13,947.00円",2018年9月10日,275億円
9,---,-100円,"13,570.00円",2018年9月7日,265億円
10,---,-403円,"13,670.00円",2018年9月6日,264億円
11,---,115円,"14,073.00円",2018年9月5日,265億円
12,---,19円,"13,958.00円",2018年9月4日,263億円
13,---,10円,"13,939.00円",2018年9月3日,258億円
14,---,-166円,"13,929.00円",2018年8月31日,247億円
15,---,209円,"14,095.00円",2018年8月30日,244億円
16,---,73円,"13,886.00円",2018年8月29日,236億円
17,---,-2円,"13,813.00円",2018年8月28日,229億円
18,---,326円,"13,815.00円",2018年8月27日,225億円
19,---,223円,"13,489.00円",2018年8月24日,215億円
