,分配金,前日比,基準価額,日時,純資産総額
0,---,69円,"5,499.00円",2018年9月21日,"1,121億円"
1,---,24円,"5,430.00円",2018年9月20日,"1,109億円"
2,---,24円,"5,406.00円",2018年9月19日,"1,104億円"
3,150円,-114円,"5,382.00円",2018年9月18日,"1,096億円"
4,---,45円,"5,496.00円",2018年9月14日,"1,118億円"
5,---,13円,"5,451.00円",2018年9月13日,"1,109億円"
6,---,-23円,"5,438.00円",2018年9月12日,"1,107億円"
7,---,57円,"5,461.00円",2018年9月11日,"1,110億円"
8,---,-54円,"5,404.00円",2018年9月10日,"1,097億円"
9,---,26円,"5,458.00円",2018年9月7日,"1,108億円"
10,---,-5円,"5,432.00円",2018年9月6日,"1,103億円"
11,---,-31円,"5,437.00円",2018年9月5日,"1,103億円"
12,---,15円,"5,468.00円",2018年9月4日,"1,110億円"
13,---,-70円,"5,453.00円",2018年9月3日,"1,107億円"
14,---,6円,"5,523.00円",2018年8月31日,"1,121億円"
15,---,-12円,"5,517.00円",2018年8月30日,"1,120億円"
16,---,59円,"5,529.00円",2018年8月29日,"1,126億円"
17,---,0円,"5,470.00円",2018年8月28日,"1,113億円"
18,---,16円,"5,470.00円",2018年8月27日,"1,114億円"
19,---,1円,"5,454.00円",2018年8月24日,"1,114億円"
