,分配金,前日比,基準価額,日時,純資産総額
0,---,41円,"3,725.00円",2018年9月21日,"7,131億円"
1,---,-43円,"3,684.00円",2018年9月20日,"7,065億円"
2,---,-7円,"3,727.00円",2018年9月19日,"7,159億円"
3,35円,-48円,"3,734.00円",2018年9月18日,"7,171億円"
4,---,42円,"3,782.00円",2018年9月14日,"7,272億円"
5,---,-5円,"3,740.00円",2018年9月13日,"7,199億円"
6,---,3円,"3,745.00円",2018年9月12日,"7,217億円"
7,---,34円,"3,742.00円",2018年9月11日,"7,214億円"
8,---,-26円,"3,708.00円",2018年9月10日,"7,151億円"
9,---,-16円,"3,734.00円",2018年9月7日,"7,210億円"
10,---,17円,"3,750.00円",2018年9月6日,"7,248億円"
11,---,-24円,"3,733.00円",2018年9月5日,"7,227億円"
12,---,3円,"3,757.00円",2018年9月4日,"7,273億円"
13,---,11円,"3,754.00円",2018年9月3日,"7,278億円"
14,---,-40円,"3,743.00円",2018年8月31日,"7,270億円"
15,---,16円,"3,783.00円",2018年8月30日,"7,350億円"
16,---,46円,"3,767.00円",2018年8月29日,"7,329億円"
17,---,-6円,"3,721.00円",2018年8月28日,"7,249億円"
18,---,13円,"3,727.00円",2018年8月27日,"7,266億円"
19,---,16円,"3,714.00円",2018年8月24日,"7,246億円"
