,分配金,前日比,基準価額,日時,純資産総額
0,---,24円,"1,759.00円",2018年9月21日,142億円
1,---,3円,"1,735.00円",2018年9月20日,139億円
2,---,64円,"1,732.00円",2018年9月19日,138億円
3,---,25円,"1,668.00円",2018年9月18日,132億円
4,---,-22円,"1,643.00円",2018年9月14日,130億円
5,---,12円,"1,665.00円",2018年9月13日,131億円
6,---,-47円,"1,653.00円",2018年9月12日,130億円
7,---,-11円,"1,700.00円",2018年9月11日,134億円
8,---,21円,"1,711.00円",2018年9月10日,134億円
9,---,36円,"1,690.00円",2018年9月7日,133億円
10,---,12円,"1,654.00円",2018年9月6日,130億円
11,---,-59円,"1,642.00円",2018年9月5日,129億円
12,---,0円,"1,701.00円",2018年9月4日,134億円
13,---,35円,"1,701.00円",2018年9月3日,134億円
14,---,-52円,"1,666.00円",2018年8月31日,131億円
15,---,28円,"1,718.00円",2018年8月30日,136億円
16,---,-23円,"1,690.00円",2018年8月29日,134億円
17,---,35円,"1,713.00円",2018年8月28日,136億円
18,85円,-66円,"1,678.00円",2018年8月27日,132億円
19,---,-40円,"1,744.00円",2018年8月24日,136億円
